PC1,PC2,Cluster,Categorie
-0.7961884866817304,-1.3001629994574309,1,Plastique
-0.9929043261675916,-1.2684211465050297,1,Papier
1.169745513867,1.0329212474928717,3,Verre
1.922182698397696,-1.5992995511424617,2,Verre
0.7673949052723407,-0.4855021791289731,2,Plastique
2.0670666768255668,1.3629693837079417,2,Plastique
-0.7405932848105957,-0.311766582996865,1,Plastique
-1.0900287906074508,-1.2687735103123474,1,Plastique
-1.1121381100040382,-1.259321754271792,1,Papier
-0.9798536467678269,-1.2774299117244023,1,Papier
-0.6788049237547524,1.6720856839772138,1,Papier
-0.8308779584138954,0.6970960448291705,1,Papier
1.6760182592021304,-0.5761250049669147,2,Verre
-0.6542576628625004,1.6729194244836265,1,Papier
2.089927259648426,-1.618167165126803,2,Verre
-1.0544235667893755,0.7181651843476857,1,Papier
-0.7394401823639821,1.6825982854244639,1,Papier
1.7016093690338914,-0.5797710747021486,2,Verre
-0.43879637793490434,0.6546295785036056,1,Plastique
1.8105928495881995,0.39579165549753736,2,Verre
0.05317451888995875,1.5894532596275386,1,Métal
-0.2692234359547762,1.6297164327090268,1,Plastique
1.2938906059872908,1.4512368222106693,2,Verre
-0.11768846124668936,1.605578406113559,1,Plastique
-0.7022604465535989,0.6775959919821808,1,Plastique
-0.5932879161777999,1.668003586603288,1,Papier
0.9547798899079625,-1.4939069173578658,2,Verre
-0.7124255892300758,-0.7055486716503563,0,Métal
-0.23480959173512975,0.25924881979372283,0,Métal
-0.6430391021096348,-0.3259223301803016,1,Plastique
-0.8577148845096566,-0.6587729172536296,0,Métal
2.1922612585419206,-0.6393434612885951,2,Verre
1.961950316591981,1.3718803032178484,2,Verre
-0.281237626078621,0.6326031289893674,1,Plastique
2.0007757191057327,0.3816124479111056,2,Verre
-0.3006989505377221,0.6427209500427147,1,Métal
-0.5273049279654639,1.6511274877161959,1,Plastique
-0.699862065374213,1.6782080834279045,1,Papier
-0.4566623277794465,0.656448672100659,1,Plastique
-0.9024479468198003,-1.2844662535847904,1,Papier
-0.5121330165224955,-1.3312285758979339,1,Verre
-0.6190551753247835,-1.642992842235653,0,Métal
-1.2988455178867944,-1.1987469675940847,1,Papier
-0.3892472317368728,-0.3431665513987514,1,Plastique
-0.7071695859180054,0.3216219169904737,0,Métal
-0.5078904519938363,-1.671169142689112,0,Métal
-0.30100987138754604,1.625952279005691,1,Plastique
-0.5902204699069805,0.6599252240835078,1,Plastique
-0.36592198475312976,0.6418189040743763,1,Plastique
-0.6445036876614609,0.6831496162174668,1,Papier
-1.0392716035547906,-0.2729884157121565,1,Papier
11.443964267760638,-0.10555862735979882,2,Verre
-0.8288205905922001,-0.29563826577522234,1,Papier
1.7569840213668566,-0.5859483625991253,2,Verre
-0.4259718144852034,1.6446676695070874,1,Plastique
0.9454962949436045,-0.49949694424794955,2,Verre
-0.2606928089715812,1.6279886622575048,1,Plastique
-0.3635829745764423,0.32227558716875504,0,Métal
1.8258585785816315,-1.5855948646673157,2,Verre
-0.9083002672362167,-0.2902770440650495,1,Papier
0.5715989508587809,1.549196938072958,1,Verre
2.6574999638096544,1.2968869763126964,2,Verre
-0.3705922650162049,1.6498346536054906,1,Papier
2.0629291067281095,1.3678800897369634,2,Verre
-0.23448113333645565,1.2677573195729648,0,Métal
-1.0544235667893755,0.7181651843476857,1,Papier
-0.8001368905629812,1.6825330974149095,1,Plastique
1.983303599460092,-0.6086104749453641,2,Verre
-0.7872619695247492,-0.29569362442818226,1,Papier
-1.0556947493106912,-0.2751095908195371,1,Papier
-0.8244191906391864,-0.29556462239835857,1,Papier
-0.5895242337955309,1.6672896689838546,1,Papier
-0.4548337168387847,-1.3334774198595845,1,Plastique
1.5167180488709628,-1.5515997824707526,2,Verre
-0.26489625559014823,1.6242930870510983,1,Plastique
-0.3540792910242916,1.6303384348870245,1,Plastique
0.1104730849677639,1.5902782461504434,1,Métal
-0.5426232947350732,0.6724878391694535,1,Plastique
-0.680149585206026,1.6767506352889587,1,Papier
-0.4548337168387847,-1.3334774198595845,1,Plastique
-0.8701738927208593,1.694102014371232,1,Papier
2.0007757191057327,0.3816124479111056,2,Verre
-0.5964372241123914,0.6644829977010407,1,Plastique
-0.7983306668312394,-1.6936219841544151,0,Métal
0.16059849592877826,1.5859436330717303,1,Métal
-0.6088071939829125,-1.3191543651194089,1,Plastique
1.5432437787256605,-0.5635357803355695,2,Verre
-0.6445036876614609,0.6831496162174668,1,Papier
-0.9117784695406165,-0.6571637570883377,0,Métal
-0.9134322338552243,0.705042795482355,1,Papier
-0.6672606730375245,-0.6766396775709508,0,Métal
1.6035598680518677,1.4124455671929457,2,Verre
-0.23972921954666515,1.272420917530732,0,Métal
-0.611008710384928,-1.3195142872511745,1,Plastique
-0.8998272402663612,-0.28590502874368773,1,Papier
-0.7588826194367508,0.6929029862434877,1,Papier
-0.611008710384928,-1.3195142872511745,1,Plastique
2.1350407589120333,1.3551403783487947,2,Verre
-0.3174872289879451,0.6339587601547818,1,Verre
-0.6552091385660138,-0.31023106045888604,1,Papier
1.569385773918365,-0.573134135435278,2,Verre
-0.22588734119635476,0.2839595276530411,0,Métal
-0.5829919790365816,-0.64581959064274,0,Métal
-0.7394401823639821,1.6825982854244639,1,Papier
-0.5459034416980083,1.6647125210044929,1,Papier
-0.8128231224418527,0.6991259173933064,1,Papier
2.664274096239459,-0.6892583871504951,2,Verre
1.420936873135522,0.44164002093487653,2,Plastique
-0.8935972693633161,0.7001830394624575,1,Papier
-0.6029553576392969,-1.6425690997274915,0,Métal
-0.8418243258081799,-1.29601318886491,1,Plastique
1.4670516321145217,-1.5507500896786268,2,Verre
-0.7540607968105223,-0.617851867592865,0,Métal
2.578632183742337,-0.6829822462458377,2,Verre
-0.7451118444011396,-0.3063551682915233,1,Plastique
-0.6315895884384479,0.6721466716654787,1,Plastique
1.9850677368596998,0.3745587597853566,2,Verre
-0.9369283996625718,-0.28323948021678946,1,Papier
-0.6951143769026371,0.6832902394873017,1,Papier
-0.8141736240100425,-0.291423848808094,1,Papier
1.8150713004320755,1.3941281835519799,2,Verre
-0.9715944083673255,-1.2747992751611728,1,Papier
-1.1287833665029363,-1.2568507759598044,1,Papier
-0.8027929184208659,-0.29642171735222034,1,Papier
-0.3869828183279489,1.6482293980789022,1,Papier
-0.734603237837965,0.6718251779310871,1,Plastique
-0.7701255952448721,-0.3123228508570872,1,Plastique
-0.9578645213361481,-1.272917539320281,1,Papier
-0.6164858156773486,0.33746223979417556,0,Métal
-0.3928908851649453,-1.7285590393590395,0,Métal
